  No.,Time,Snd/Rcv,Dest,Src,Priority,PGN,Data
19655,77.798,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19656,77.801,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19657,77.809,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19658,77.811,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19659,77.815,Receive,17,30,5,61184,86 0A 7F 01 FF FF FC FF 
19660,77.819,Receive,255,81,6,61454,8C 0F A9 F4 05 3F FF FF 
19661,77.82,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19662,77.822,Receive,0,242,6,59904,D3 FF 00 
19663,77.822,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19664,77.831,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19665,77.832,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19666,77.841,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19667,77.843,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19668,77.852,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19669,77.853,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19670,77.862,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19671,77.864,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19672,77.865,Receive,255,81,6,61454,8C 0F A9 F4 05 3F FF FF 
19673,77.866,Receive,17,30,5,61184,86 0B 7F 01 FF FF FC FF 
19674,77.872,Receive,255,242,6,59904,D3 FF 00 
19675,77.873,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19676,77.875,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19677,77.882,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19678,77.887,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19679,77.892,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19680,77.898,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19681,77.902,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19682,77.909,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19683,77.912,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19684,77.915,Receive,255,81,6,61454,8C 0F 94 F4 05 3F FF FF 
19685,77.916,Receive,17,30,5,61184,86 0C 7F 01 FF FF FC FF 
19686,77.92,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19687,77.922,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19688,77.923,Receive,0,242,6,59904,E1 FF 00 
19689,77.931,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19690,77.932,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19691,77.954,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19692,77.955,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19693,77.956,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19694,77.957,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19695,77.964,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19696,77.965,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19697,77.966,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19698,77.967,Receive,17,30,5,61184,87 2E 2E 6E 2E 6E 6E FF 
19699,77.973,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19700,77.994,Receive,255,242,6,59904,E1 FF 00 
19701,77.995,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19702,77.996,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19703,77.997,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19704,77.998,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19705,77.999,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19706,78.003,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19707,78.014,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19708,78.015,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19709,78.016,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19710,78.017,Receive,17,30,5,61184,88 6E 6E 6E 6E 6E 6E FF 
19711,78.02,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19712,78.023,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19713,78.025,Receive,0,242,6,59904,E4 FF 00 
19714,78.031,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19715,78.044,Receive,17,30,5,61184,82 FF 87 61 00 00 00 00 
19716,78.045,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19717,78.046,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19718,78.053,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19719,78.064,Receive,17,30,5,61184,85 00 00 00 00 00 00 FF 
19720,78.065,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19721,78.066,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19722,78.067,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19723,78.074,Receive,17,30,5,61184,81 CF 03 0F 00 00 00 00 
19724,78.075,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19725,78.076,Receive,255,242,6,59904,E4 FF 00 
19726,78.086,Receive,17,30,5,61184,82 FF 85 61 00 00 00 00 
19727,78.087,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19728,78.094,Receive,17,30,5,61184,83 FF 3F 75 00 00 00 00 
19729,78.098,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
19730,78.104,Receive,17,30,5,61184,84 00 00 00 00 00 00 FF 
19731,78.109,Receive,30,17,5,61184,04 7F 00 7F 7F 00 00 FF 
19732,78.114,Receive,17,30,5,61184,80 00 00 00 FF 03 FF 03 
19733,78.116,Receive,255,81,6,61454,8C 0F 6E F4 05 3F FF FF 
19734,78.12,Receive,30,17,5,61184,05 00 0D 00 00 7F 7F FF 
