No.,Time,Snd/Rc,Dest,Src,Priority,PGN,NOx Raw,O2 Raw,Status,Heater,Error NOx,Error O2
96,3.669,Receive,255,0,6,65247,65535,65535,255,255,255,5
97,3.674,Receive,255,82,6,61455,3968,62808,85,159,31,255
98,3.674,Receive,255,82,6,61455,3968,62808,85,159,31,255
99,3.689,Receive,255,0,6,65247,65535,65535,255,255,255,5
100,3.689,Receive,255,0,6,65247,65535,65535,255,255,255,5
101,3.701,Receive,255,81,6,61454,3994,62602,85,159,31,255
102,3.701,Receive,255,81,6,61454,3994,62602,85,159,31,255
103,3.709,Receive,255,0,6,65247,65535,65535,255,255,255,5
104,3.709,Receive,255,0,6,65247,65535,65535,255,255,255,5
105,3.724,Receive,255,82,6,61455,3968,62808,85,159,31,255
106,3.724,Receive,255,82,6,61455,3968,62808,85,159,31,255
107,3.729,Receive,255,0,6,65247,65535,65535,255,255,255,5
108,3.729,Receive,255,0,6,65247,65535,65535,255,255,255,5
109,3.749,Receive,255,0,6,65247,65535,65535,255,255,255,5
110,3.749,Receive,255,0,6,65247,65535,65535,255,255,255,5
111,3.751,Receive,255,81,6,61454,3994,62602,85,159,31,255
112,3.751,Receive,255,81,6,61454,3994,62602,85,159,31,255
113,3.769,Receive,255,0,6,65247,65535,65535,255,255,255,5
114,3.769,Receive,255,0,6,65247,65535,65535,255,255,255,5
115,3.774,Receive,255,82,6,61455,3968,62808,85,159,31,255
116,3.774,Receive,255,82,6,61455,3968,62808,85,159,31,255
117,3.789,Receive,255,0,6,65247,65535,65535,255,255,255,5
118,3.789,Receive,255,0,6,65247,65535,65535,255,255,255,5
119,3.801,Receive,255,81,6,61454,3994,62602,85,159,31,255
120,3.801,Receive,255,81,6,61454,3994,62602,85,159,31,255
121,3.809,Receive,255,0,6,65247,65535,65535,255,255,255,5
122,3.809,Receive,255,0,6,65247,65535,65535,255,255,255,5
123,3.824,Receive,255,82,6,61455,3968,62808,85,159,31,255
124,3.824,Receive,255,82,6,61455,3968,62808,85,159,31,255
125,3.829,Receive,255,0,6,65247,65535,65535,255,255,255,5
126,3.829,Receive,255,0,6,65247,65535,65535,255,255,255,5
127,3.849,Receive,255,0,6,65247,65535,65535,255,255,255,5
128,3.849,Receive,255,0,6,65247,65535,65535,255,255,255,5
129,3.851,Receive,255,81,6,61454,3994,62602,85,159,31,255
130,3.851,Receive,255,81,6,61454,3994,62602,85,159,31,255
131,3.869,Receive,255,0,6,65247,65535,65535,255,255,255,5
132,3.869,Receive,255,0,6,65247,65535,65535,255,255,255,5
133,3.874,Receive,255,82,6,61455,3968,62808,85,159,31,255
134,3.874,Receive,255,82,6,61455,3968,62808,85,159,31,255
135,3.889,Receive,255,0,6,65247,65535,65535,255,255,255,5
136,3.889,Receive,255,0,6,65247,65535,65535,255,255,255,5
137,3.901,Receive,255,81,6,61454,3994,62597,85,159,31,255
138,3.901,Receive,255,81,6,61454,3994,62597,85,159,31,255
139,3.909,Receive,255,0,6,65247,65535,65535,255,255,255,5
140,3.909,Receive,255,0,6,65247,65535,65535,255,255,255,5
141,3.924,Receive,255,82,6,61455,3968,62808,85,159,31,255
142,3.924,Receive,255,82,6,61455,3968,62808,85,159,31,255
143,3.929,Receive,255,0,6,65247,65535,65535,255,255,255,5
144,3.929,Receive,255,0,6,65247,65535,65535,255,255,255,5
145,3.949,Receive,255,0,6,65247,65535,65535,255,255,255,5
146,3.949,Receive,255,0,6,65247,65535,65535,255,255,255,5
147,3.951,Receive,255,81,6,61454,3994,62597,85,159,31,255
148,3.951,Receive,255,81,6,61454,3994,62597,85,159,31,255
149,3.969,Receive,255,0,6,65247,65535,65535,255,255,255,5
150,3.969,Receive,255,0,6,65247,65535,65535,255,255,255,5
151,3.974,Receive,255,82,6,61455,3968,62808,85,159,31,255
152,3.974,Receive,255,82,6,61455,3968,62808,85,159,31,255
153,3.989,Receive,255,0,6,65247,65535,65535,255,255,255,5
154,3.989,Receive,255,0,6,65247,65535,65535,255,255,255,5
155,4.001,Receive,255,81,6,61454,3994,62597,85,159,31,255
156,4.001,Receive,255,81,6,61454,3994,62597,85,159,31,255
157,4.009,Receive,255,0,6,65247,65535,65535,255,255,255,5
158,4.009,Receive,255,0,6,65247,65535,65535,255,255,255,5
159,4.024,Receive,255,82,6,61455,3968,62808,85,159,31,255
160,4.024,Receive,255,82,6,61455,3968,62808,85,159,31,255
161,4.029,Receive,255,0,6,65247,65535,65535,255,255,255,5
162,4.029,Receive,255,0,6,65247,65535,65535,255,255,255,5
163,4.049,Receive,255,0,6,65247,65535,65535,255,255,255,5
164,4.049,Receive,255,0,6,65247,65535,65535,255,255,255,5
165,4.051,Receive,255,81,6,61454,3994,62597,85,159,31,255
166,4.051,Receive,255,81,6,61454,3994,62597,85,159,31,255
167,4.069,Receive,255,0,6,65247,65535,65535,255,255,255,5
168,4.069,Receive,255,0,6,65247,65535,65535,255,255,255,5
169,4.074,Receive,255,82,6,61455,3968,62808,85,159,31,255
170,4.074,Receive,255,82,6,61455,3968,62808,85,159,31,255
171,4.089,Receive,255,0,6,65247,65535,65535,255,255,255,5
172,4.089,Receive,255,0,6,65247,65535,65535,255,255,255,5
173,4.101,Receive,255,81,6,61454,3994,62597,85,159,31,255
174,4.101,Receive,255,81,6,61454,3994,62597,85,159,31,255
175,4.109,Receive,255,0,6,65247,65535,65535,255,255,255,5
176,4.109,Receive,255,0,6,65247,65535,65535,255,255,255,5
177,4.124,Receive,255,82,6,61455,3968,62808,85,159,31,255
178,4.124,Receive,255,82,6,61455,3968,62808,85,159,31,255
179,4.129,Receive,255,0,6,65247,65535,65535,255,255,255,5
180,4.129,Receive,255,0,6,65247,65535,65535,255,255,255,5
181,4.149,Receive,255,0,6,65247,65535,65535,255,255,255,5
182,4.149,Receive,255,0,6,65247,65535,65535,255,255,255,5
183,4.151,Receive,255,81,6,61454,3994,62597,85,159,31,255
184,4.151,Receive,255,81,6,61454,3994,62597,85,159,31,255
185,4.169,Receive,255,0,6,65247,65535,65535,255,255,255,5
186,4.169,Receive,255,0,6,65247,65535,65535,255,255,255,5
187,4.174,Receive,255,82,6,61455,3968,62808,85,159,31,255
188,4.174,Receive,255,82,6,61455,3968,62808,85,159,31,255
189,4.189,Receive,255,0,6,65247,65535,65535,255,255,255,5
190,4.189,Receive,255,0,6,65247,65535,65535,255,255,255,5
191,4.201,Receive,255,81,6,61454,3994,62597,85,159,31,255
192,4.201,Receive,255,81,6,61454,3994,62597,85,159,31,255
193,4.209,Receive,255,0,6,65247,65535,65535,255,255,255,5
194,4.209,Receive,255,0,6,65247,65535,65535,255,255,255,5
195,4.224,Receive,255,82,6,61455,3968,62808,85,159,31,255
196,4.224,Receive,255,82,6,61455,3968,62808,85,159,31,255
197,4.229,Receive,255,0,6,65247,65535,65535,255,255,255,5
198,4.229,Receive,255,0,6,65247,65535,65535,255,255,255,5
199,4.249,Receive,255,0,6,65247,65535,65535,255,255,255,5
200,4.249,Receive,255,0,6,65247,65535,65535,255,255,255,5
201,4.251,Receive,255,81,6,61454,3994,62597,85,159,31,255
202,4.251,Receive,255,81,6,61454,3994,62597,85,159,31,255
203,4.269,Receive,255,0,6,65247,65535,65535,255,255,255,5
204,4.269,Receive,255,0,6,65247,65535,65535,255,255,255,5
205,4.274,Receive,255,82,6,61455,3968,62808,85,159,31,255
206,4.274,Receive,255,82,6,61455,3968,62808,85,159,31,255
207,4.289,Receive,255,0,6,65247,65535,65535,255,255,255,5
208,4.289,Receive,255,0,6,65247,65535,65535,255,255,255,5
209,4.301,Receive,255,81,6,61454,3994,62597,85,159,31,255
210,4.301,Receive,255,81,6,61454,3994,62597,85,159,31,255
211,4.309,Receive,255,0,6,65247,65535,65535,255,255,255,5
212,4.309,Receive,255,0,6,65247,65535,65535,255,255,255,5
213,4.324,Receive,255,82,6,61455,3968,62808,85,159,31,255
214,4.324,Receive,255,82,6,61455,3968,62808,85,159,31,255
215,4.329,Receive,255,0,6,65247,65535,65535,255,255,255,5
216,4.329,Receive,255,0,6,65247,65535,65535,255,255,255,5
217,4.349,Receive,255,0,6,65247,65535,65535,255,255,255,5
218,4.349,Receive,255,0,6,65247,65535,65535,255,255,255,5
219,4.351,Receive,255,81,6,61454,3994,62597,85,159,31,255
220,4.351,Receive,255,81,6,61454,3994,62597,85,159,31,255
221,4.369,Receive,255,0,6,65247,65535,65535,255,255,255,5
222,4.369,Receive,255,0,6,65247,65535,65535,255,255,255,5
223,4.374,Receive,255,82,6,61455,3968,62808,85,159,31,255
224,4.374,Receive,255,82,6,61455,3968,62808,85,159,31,255
225,4.389,Receive,255,0,6,65247,65535,65535,255,255,255,5
226,4.389,Receive,255,0,6,65247,65535,65535,255,255,255,5
227,4.401,Receive,255,81,6,61454,3994,62597,85,159,31,255
228,4.401,Receive,255,81,6,61454,3994,62597,85,159,31,255
229,4.409,Receive,255,0,6,65247,65535,65535,255,255,255,5
230,4.409,Receive,255,0,6,65247,65535,65535,255,255,255,5
231,4.424,Receive,255,82,6,61455,3968,62812,85,159,31,255
232,4.424,Receive,255,82,6,61455,3968,62812,85,159,31,255
233,4.429,Receive,255,0,6,65247,65535,65535,255,255,255,5
234,4.429,Receive,255,0,6,65247,65535,65535,255,255,255,5
235,4.449,Receive,255,0,6,65247,65535,65535,255,255,255,5
236,4.449,Receive,255,0,6,65247,65535,65535,255,255,255,5
237,4.451,Receive,255,81,6,61454,3994,62597,85,159,31,255
238,4.451,Receive,255,81,6,61454,3994,62597,85,159,31,255
239,4.469,Receive,255,0,6,65247,65535,65535,255,255,255,5
240,4.469,Receive,255,0,6,65247,65535,65535,255,255,255,5
241,4.474,Receive,255,82,6,61455,3968,62812,85,159,31,255
242,4.474,Receive,255,82,6,61455,3968,62812,85,159,31,255
243,4.489,Receive,255,0,6,65247,65535,65535,255,255,255,5
244,4.489,Receive,255,0,6,65247,65535,65535,255,255,255,5
245,4.501,Receive,255,81,6,61454,3994,62597,85,159,31,255
246,4.501,Receive,255,81,6,61454,3994,62597,85,159,31,255
247,4.509,Receive,255,0,6,65247,65535,65535,255,255,255,5
248,4.509,Receive,255,0,6,65247,65535,65535,255,255,255,5
249,4.524,Receive,255,82,6,61455,3968,62808,85,159,31,255
250,4.524,Receive,255,82,6,61455,3968,62808,85,159,31,255
251,4.529,Receive,255,0,6,65247,65535,65535,255,255,255,5
252,4.529,Receive,255,0,6,65247,65535,65535,255,255,255,5
253,4.549,Receive,255,0,6,65247,65535,65535,255,255,255,5
254,4.549,Receive,255,0,6,65247,65535,65535,255,255,255,5
255,4.551,Receive,255,81,6,61454,3994,62597,85,159,31,255
256,4.551,Receive,255,81,6,61454,3994,62597,85,159,31,255
257,4.569,Receive,255,0,6,65247,65535,65535,255,255,255,5
258,4.569,Receive,255,0,6,65247,65535,65535,255,255,255,5
259,4.574,Receive,255,82,6,61455,3968,62812,85,159,31,255
260,4.574,Receive,255,82,6,61455,3968,62812,85,159,31,255
